startDate,endDate,progress,duration,finished,recordedDate,_recordId,QID16_10,QID16_11,QID16_12,QID16_13,QID16_14,QID16_15,QID16_16,QID16_17,QID16_18,QID17_11,QID17_12,QID17_13,QID17_14,QID17_15,QID17_16,QID17_17,QID17_18,QID17_19,QID17_20,QID17_21,QID17_22,QID17_23,QID17_24,QID17_25,QID17_26,QID17_27,QID17_28,QID17_29,QID17_30,QID17_31,QID17_32,QID17_33,QID17_34,QID17_35,QID17_36,QID17_37,QID17_38,QID17_39,QID17_40,QID17_41,QID17_42,QID17_43,QID17_44,QID17_45,QID17_46,QID17_47,QID17_48,QID17_49,QID17_50,QID17_51,QID17_52,QID17_53,QID20,QID22
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Q16_10 - Scientific research does more harm than good.,Q16_11 - Most research can be trusted.,Q16_12 - Science is one source of knowledge among many.,Q16_13 - Science is a hoax.,Q16_14 - Only knowledge gained through the scientific method can be trusted.,Q16_15 - Science can sometimes be helpful when making decisions.,Q16_16 - Not all research is trustworthy.,Q16_17 - Personal experience is more important than scientific findings.,Q16_18 - Science is our best chance of solving the world's problems.,Q17_11 - I have difficulty talking with other people.,Q17_12 - I believe non-traditional approaches to medicine can be just as effective a...,Q17_13 - I do not like to be reliant on technology.,"Q17_14 - Once you know how to use them, it's easier to work with computers than huma...",Q17_15 - I find it difficult to disagree with another's point of view.,Q17_16 - I feel tense if I am alone with just one person.,Q17_17 - So far I have gotten the important things I want in life.,Q17_18 - Machines are less prone to mistakes than humans.,Q17_19 - Thinking is not my idea of fun.,Q17_20 - Humans tend to make better products than machines can.,Q17_21 - Automated phone services are slower than human customer service representat...,Q17_22 - I have difficulty making eye contact with others.,Q17_23 - The avalibility of machines to do human tasks saves time.,Q17_24 - You can't trust information from the mainstream media.,Q17_25 - I am satisfied with my life.,Q17_26 - I would get tense if I had to sit facing other people on a bus or train.,Q17_27 - I'm looking forward to a future filled with intelligent computers.,Q17_28 - Machines make it easier for me to live my daily life.,Q17_29 - It's often easier to work with a machine than it is to work with a human,Q17_30 - I worry I might do something to attract the attention of other people.,Q17_31 - Scientists do not agree on whether the planet is warming or not.,Q17_32 - I try to anticipate and avoid situations where there is likely a chance I w...,"Q17_33 - When in an elevator, I am tense if people look at me.",Q17_34 - I trust people more than technology.,"Q17_35 - If I could live my life over, I would change almost nothing.",Q17_36 - I find it difficult mixing comfortably with the people I work with.,Q17_37 - I get nervous that people are staring at me as I walk down the street.,Q17_38 - I can feel conspicuous standing in a line.,Q17_39 - I prefer complex to simple problems.,Q17_40 - Global warming is real and it is caused by humans.,Q17_41 - I only think as hard as I have to.,Q17_42 - It is easier for me to interact with machines rather than people,Q17_43 - In most ways my life is close to my ideal.,Q17_44 - I tense up if I meet an acquaintance on the street.,Q17_45 - I believe in the power of prayer to heal the body.,Q17_46 - I like face-to-face interaction.,Q17_47 - Machines are more efficient than people.,Q17_48 - I trust computers more than people,Q17_49 - I would rather do something that requires little thought than something tha...,Q17_50 - The conditions of my life are excellent.,Q17_51 - I would allow machines to make some decisions for me.,Q17_52 - Technology is more reliable than people.,Q17_53 - Vaccines can cause autism.,Q20 - 16. How would you describe your political views?,Q23 - What is the highest level of school you have completed or the highest degre...
11/3/16 15:42,11/3/16 15:48,100,404,TRUE,11/3/16 15:48,R_3NWduNWjGnXS5dH,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither conservative nor liberal,Doctoral degree
11/3/16 15:44,11/3/16 15:49,100,291,TRUE,11/3/16 15:49,R_3CP1Y80hI9ipd4B,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Very liberal,Master's degree
11/3/16 15:52,11/3/16 15:57,100,301,TRUE,11/3/16 15:57,R_2tn9SkodiEzbJvc,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat liberal,Doctoral degree
11/3/16 15:49,11/3/16 15:58,100,541,TRUE,11/3/16 15:58,R_XtG8U0oOeTEIXnj,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat conservative,Master's degree
11/3/16 16:02,11/3/16 16:05,100,217,TRUE,11/3/16 16:05,R_3EYbyfkcgTewFpC,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat conservative,Doctoral degree
11/3/16 16:01,11/3/16 16:08,100,399,TRUE,11/3/16 16:08,R_1nZK9SAySR6YbPa,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat conservative,Doctoral degree
11/3/16 16:16,11/3/16 16:21,100,318,TRUE,11/3/16 16:21,R_30kuYeEdEjgmwVO,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat liberal,Bachelor's degree in college (4-year)
11/3/16 16:17,11/3/16 16:23,100,354,TRUE,11/3/16 16:23,R_3kh1gM2XUZVpo5l,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Very liberal,Doctoral degree
11/3/16 16:23,11/3/16 16:26,100,188,TRUE,11/3/16 16:26,R_R1VLc77rzVZopjz,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat liberal,Doctoral degree
